"Cycle","Domain","Component","Official_source","Local_cache_filename","Source_SHA","Role"
"2005_2006","Questionnaire","BPQ_D","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/BPQ_D.XPT","2005_2006/BPQ_D.xpt","089B29FDFBC3D46A93C63E74CFC29376B3168556813D206119D471EE48991BAC","hypertension,hyperlipidemia"
"2005_2006","Questionnaire","DIQ_D","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/DIQ_D.XPT","2005_2006/DIQ_D.xpt","AC81ED56D09AADBE12DF39C6991D9F4D9CFA04211AEE4D103D38C981390B826E","diabetes"
"2005_2006","Questionnaire","SMQ_D","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/SMQ_D.XPT","2005_2006/SMQ_D.xpt","EF82433ACA1A36BA2310A624CCDBAF195E2A258A88AF0F284EF2A58D36BE3011","smoking"
"2005_2006","Questionnaire","ALQ_D","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/ALQ_D.XPT","2005_2006/ALQ_D.xpt","BE651DA341D629CF2456E5C2FA0387C48FA67CD0949D6DC9ACC46FF6060BCABE","alcohol"
"2005_2006","Examination","BMX_D","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/BMX_D.XPT","2005_2006/BMX_D.xpt","A52909BE94CF825BA8A65477A9528603576FD5FBF3ABADD72549A3F15C88566E","BMI"
"2005_2006","Laboratory","PHTHTE_D","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2005/DataFiles/PHTHTE_D.XPT","2005_2006/PHTHTE_D.xpt","5ED37A3D5D34A15DB34D23806624F45CE2F217C4B6FADEF31D6AA031CCAA572E","phthalate metabolites,subsample weight,creatinine through 2013_2014"
"2007_2008","Demographics","DEMO_E","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DEMO_E.XPT","2007_2008/DEMO_E.xpt","02B8E97703D04BC99769C751881BECE51AC9BA68CF18A2992A45D3BDFB856147","sampling,demographics,pregnancy,design"
"2007_2008","Questionnaire","MCQ_E","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/MCQ_E.XPT","2007_2008/MCQ_E.xpt","DFBE11C6B036EC4E79AEBA7805833FC4951C74662A9510066C3A93932F6990E6","stroke outcome"
"2007_2008","Questionnaire","BPQ_E","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/BPQ_E.XPT","2007_2008/BPQ_E.xpt","B802B5855D48FC230C734083EA1E4D4A9D84E1B36BF5E78FCD725C17D6CE77DF","hypertension,hyperlipidemia"
"2007_2008","Questionnaire","DIQ_E","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/DIQ_E.XPT","2007_2008/DIQ_E.xpt","FB4D698FBEC26BC8A09B2CD0F3019F815114742DD2C37CCAC1AAF5E0123394C5","diabetes"
"2007_2008","Questionnaire","SMQ_E","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/SMQ_E.XPT","2007_2008/SMQ_E.xpt","881865EE05F4B2BE0C03C761F00AD8E355F2CC5E7D3BE41666EDEF6F3DCA5862","smoking"
"2007_2008","Questionnaire","ALQ_E","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/ALQ_E.XPT","2007_2008/ALQ_E.xpt","3FCA970AC6ED096119D47962F3C72157DDE7C11B13A499380E9A1BBB33123789","alcohol"
"2007_2008","Examination","BMX_E","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/BMX_E.XPT","2007_2008/BMX_E.xpt","B67B50DBD12C9510B49B6348B595B9FD073C422C0C6EAC182F90AC57B491A97D","BMI"
"2007_2008","Laboratory","PHTHTE_E","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2007/DataFiles/PHTHTE_E.XPT","2007_2008/PHTHTE_E.xpt","1CD285C7023329F425D59934FB490E4EF10B624C10AF769321832A474A7E5DDC","phthalate metabolites,subsample weight,creatinine through 2013_2014"
"2009_2010","Demographics","DEMO_F","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DEMO_F.XPT","2009_2010/DEMO_F.xpt","78C4D4A6E5EAFA9DA3BBB24A90D140FEF5D8C0CDA932A7FF8EE609288D4FAE07","sampling,demographics,pregnancy,design"
"2009_2010","Questionnaire","MCQ_F","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/MCQ_F.XPT","2009_2010/MCQ_F.xpt","C2F0F9223C6A9E38E5BF6D26501C4B11D3CFD97B82DB46E1C9C266F24761C457","stroke outcome"
"2009_2010","Questionnaire","BPQ_F","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/BPQ_F.XPT","2009_2010/BPQ_F.xpt","E592C987F07002EB309A63DC7EBF6A7EAA83D740A4FD6AE69AF15DA40C65A21A","hypertension,hyperlipidemia"
"2009_2010","Questionnaire","DIQ_F","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/DIQ_F.XPT","2009_2010/DIQ_F.xpt","7E90371CBC98E77A9684EFF32FFA0E4EE3E8FC04D97581A8773E19CB9FE901FA","diabetes"
"2009_2010","Questionnaire","SMQ_F","https://wwwn.cdc.gov/Nchs/Data/Nhanes/Public/2009/DataFiles/SMQ_F.XPT","2009_2010/SMQ_F.xpt","EE85C82EA55046EB7BF491088B5BB9EFECBEA8AAF66AE8C89123BAD23A5F1901","smoking"
